float; double; eigen
1,955555804;2,793651148;0,614603253
1,955555804;1,955555804;0,55873023
1,676190689;1,955555804;0,614603253
2,234920919;2,234920919;0,670476276
2,514286034;2,234920919;0,726349299
2,514286034;2,514286034;0,782222322
2,793651148;3,073016263;0,843809758
3,073016263;3,352381378;0,94984139
3,631746493;3,631746493;0,893968367
3,911111608;3,911111608;1,005714413
4,469841837;4,469841837;1,676190689
4,469841837;8,939683675;1,117460459
5,028572067;5,307937182;1,173333482
5,866667412;6,146032526;3,352381378
6,146032526;6,425397641;1,396825574
6,984127871;6,984127871;2,598731124
7,542858101;8,10158833;2,573016263
8,10158833;8,66031856;2,290793942
9,21904879;9,777779019;2,793651148
10,33650925;10,89523948;2,905397194
11,17460459;11,45396971;3,57587347
12,01269994;12,29206505;3,799365562
12,85079528;13,68889063;2,849524171
14,80635109;15,64444643;4,034286481
18,15873246;17,32063712;5,431112055
17,87936735;18,99682781;5,325080422
18,15873246;19,27619292;6,034286481
19,83492315;21,23174873;5,419683228
21,51111384;22,6285743;7,319366009
23,18730453;24,58413011;6,146032526
24,86349522;25,98095568;7,486985078
26,81905102;28,77460683;9,386667859
28,77460683;30,1714324;7,431112055
30,1714324;31,56825798;8,716191583
31,84762309;34,92063936;8,939683675
44,69841837;36,31746493;9,442540882
36,31746493;37,99365562;8,548572514
39,39048119;40,50794165;9,442540882
40,78730677;43,02222769;11,00698552
43,86032303;46,09524395;16,65016084
46,09524395;48,33016487;11,17460459
48,60952998;52,8000067;12,85079528
51,12381602;54,47619739;11,50984273
54,75556251;58,387309;11,78920785
58,10794389;60,06349969;11,34222366
60,62222992;63,41588107;12,06857296
64,53334153;67,32699268;12,96254133
68,16508802;71,5174694;13,57714458
70,40000894;80,17778796;12,85079528
74,86985078;77,38413681;15,19746225
77,1047717;82,69207399;14,30349388
82,69207399;86,32382049;15,36508132
85,76509026;89,95556698;14,91809713
99,17461577;95,26350416;17,82349433
95,54286928;110,0698552;18,54984363
98,33652042;104,2031878;19,33206595
106,1587436;108,3936646;18,27047851
109,7904901;181,8666898;22,18159012
113,1428715;118,1714436;19,2203199
129,0666831;127,9492226;19,55555804
125,1555714;136,0508109;19,10857386
141,3587481;134,9333505;23,24317755
133,5365249;141,6381132;21,1758757
151,4158922;182,9841502;24,02539988
147,2254155;153,9301783;29,72444822
153,0920829;162,3111317;24,13714592
160,0762108;167,0603387;24,64000313
163,1492271;183,2635153;26,59555893
173,4857363;193,0412944;28,04825753
176,0000223;215,3905035;26,65143196
184,1016107;228,8000291;28,04825753
193,6000246;210,9206617;29,78032124
203,3778036;208,1270106;29,61270217
205,0539943;226,0063779;31,00952775
225,1682826;220,1397105;30,00381333
225,1682826;243,0476499;29,83619426
226,8444733;240,812729;31,79175007
241,0920941;248,076222;35,36762354
243,8857453;306,1841659;32,68571844
283,5555916;265,3968591;34,13841703
259,8095568;276,0127335;33,85905192
283,2762264;285,5111474;34,75302029
287,7460683;313,4476589;35,20000447
295,0095613;299,4794031;46,09524395
294,1714659;308,977817;38,72000492
304,5079752;360,9397284;43,97206908
315,4032147;331,0476611;39,8933384
326,019089;340,546075;42,35175141
335,796868;358,7048075;52,8000067
357,3079819;366,2476656;43,52508489
355,073061;370,1587772;46,7098472
392,5079864;391,3905259;45,36889465
377,9810004;418,488942;43,91619605
455,9238674;418,488942;48,33016487
399,4921142;430,7810071;48,1625458
419,3270374;431,0603722;48,83302207
431,0603722;452,2921209;50,62095881
485,8159347;472,6857743;51,23556206
472,9651394;483,8603789;53,91746716
525,2064159;490,2857765;54,75556251
493,0794277;504,8127625;52,91175275
526,8826066;508,7238741;56,26413413
508,444509;538,3365763;57,04635645
526,3238764;562,9207064;61,51619829
526,8826066;572,9778505;60,51048387
601,1937271;575,7715017;62,91302386
608,177855;601,7524574;65,98604013
581,6381691;618,7937294;62,74540479
613,2064271;637,5111921;65,98604013
607,8984899;640,3048432;68,6120722
619,9111898;853,1810607;69,5619136
652,3175432;690,869929;69,67365964
687,7969127;689,4731034;71,29397731
677,7397686;722,1588219;75,98731124
690,869929;743,6699357;73,64064427
694,7810406;751,2127938;81,79810563
715,4540591;771,3270821;76,8812796
792,5588308;796,7493075;79,45143866
743,9493008;830,2731213;91,24064651
766,5778751;826,9207399;89,06159861
794,5143866;836,9778841;86,26794746
806,5270865;867,1493165;86,37969351
838,0953445;890,0572559;87,27366188
873,0159839;919,1112278;89,56445582
946,7683742;936,7112301;90,01144
893,9683675;954,5905974;96,21334555
920,2286883;975,8223461;106,5498548
957,1048834;997,0540949;96,77207578
986,4382205;1037,282671;93,97842463
980,0128229;1088,685853;94,76064695
1155,17475;1062,704897;127,0552542
1015,212827;1060,469976;102,5828702
1045,38426;1104,330299;111,0755697
1131,987445;1104,609664;111,6901729
1129,473159;1154,895385;104,482553
1188,419199;1150,425543;108,1142994
1150,984273;1209,930312;109,9581092
1186,463643;1204,90174;120,2387454
1184,787452;1247,085873;113,7574748
1205,739836;1269,435082;115,6012845
1213,841424;1306,590642;115,8247766
1251,83508;1384,812874;121,3562059
1304,635086;1433,981134;121,0209677
1296,812863;1357,155728;122,8647775
1306,590642;1430,070023;126,60827
1327,263661;1562,489087;125,7143017
1381,181128;1515,555748;135,1009695
1402,133511;1505,498604;132,9777947
1490,412888;1552,431943;132,5308105
